,MAX_SHARPE_NET,SPY
2010-11-30,4347420.808813357,1235752.4612723659
2010-12-31,4914640.627597672,1318365.3818463976
2011-01-31,5019410.990873955,1349083.6328909288
2011-02-28,5289487.209835357,1395946.9615414708
2011-03-31,5534892.592325794,1396114.5481498037
2011-04-30,5993961.26260784,1436547.9362676013
2011-05-31,5794744.598085791,1420437.6859033967
2011-06-30,5587729.109868368,1396475.5039215977
2011-07-31,5351756.663761171,1368539.2737449259
2011-08-31,5018416.710239418,1293303.698642682
2011-09-30,4675186.18182742,1203520.9405808772
2011-10-31,5075879.804508822,1334882.539149197
2011-11-30,4942687.608412938,1329457.390533039
2011-12-31,4934832.533110622,1343348.2619179066
2012-01-31,5062624.057272988,1405645.3607462868
2012-02-29,5505073.6016586935,1466657.9061425568
2012-03-31,5702736.066312122,1513831.665073795
2012-04-30,5905698.347533892,1503725.111387394
2012-05-31,5606598.9375816565,1413418.0733840116
2012-06-30,5761900.735234697,1470776.045552783
2012-07-31,5924028.888139609,1488174.3840542366
2012-08-31,5814802.601974616,1525457.7261221036
2012-09-30,6239951.687920387,1564128.8558045095
2012-10-31,5927572.093256005,1535664.7070192057
2012-11-30,6034908.9330591895,1544355.819221455
2012-12-31,6045647.836677785,1558154.0605393092
2013-01-31,6405151.357982371,1637916.1374571957
2013-02-28,6717916.689995695,1658814.7697030425
2013-03-31,7212130.86116638,1721801.8637668479
2013-04-30,7589667.962640074,1754881.5057677529
2013-05-31,7628704.221137406,1796313.6560110184
2013-06-30,7444615.772630109,1772342.741228289
2013-07-31,7949995.961442396,1863931.1098443905
2013-08-31,7914546.003554694,1808027.6688401266
2013-09-30,8478067.700884877,1865246.2280797574
2013-10-31,8835510.459695915,1951619.4511496967
2013-11-30,9049720.310596168,2009460.5343413732
2013-12-31,9213698.20768131,2061559.1771497503
2014-01-31,9007394.761251863,1988892.9168355586
2014-02-28,9810487.912798582,2079418.586747951
2014-03-31,9531299.436356766,2096668.5715955023
2014-04-30,9364187.256804511,2111243.616348508
2014-05-31,9367330.709436717,2160237.9563499237
2014-06-30,9783615.453145409,2204835.3310828325
2014-07-31,9301774.125209775,2175207.640535455
2014-08-31,9914806.936540946,2261048.7865201286
2014-09-30,9696330.89962272,2229854.805748717
2014-10-31,9897729.50778228,2282370.127915778
2014-11-30,10294266.8288916,2345071.4306729417
2014-12-31,10214190.964724187,2339122.314000954
2015-01-31,10231657.576328581,2269816.5186543516
2015-02-28,10708767.919038251,2397391.0965143926
2015-03-31,10453137.895742076,2359737.7539880536
2015-04-30,10445061.875179349,2382943.7169940374
2015-05-31,10968184.235501818,2413579.0064297286
2015-06-30,10819677.782134365,2364553.8937012246
2015-07-31,11105577.062259069,2417968.278516464
2015-08-31,10479959.261731675,2270592.2824703436
2015-09-30,10138958.174743405,2212656.3860114217
2015-10-31,10784488.505734613,2400863.424503425
2015-11-30,10764745.028629877,2409638.6418955885
2015-12-31,10722349.488503724,2367994.617267842
2016-01-31,10053389.211752197,2250100.7650869237
2016-02-29,9623391.182039047,2248241.926031717
2016-03-31,10189058.273057198,2399471.5823741686
2016-04-30,9524199.47486355,2408928.789934237
2016-05-31,9782723.924738739,2449908.0820721067
2016-06-30,10297914.830199698,2458423.8105223347
2016-07-31,10822927.083655084,2548085.764837934
2016-08-31,10671231.863915555,2551136.839143986
2016-09-30,10632040.229328828,2551285.088835973
2016-10-31,10524264.42788191,2507054.075894482
2016-11-30,10739078.124800256,2599409.0596779822
2016-12-31,10856765.537273109,2652103.61218795
2017-01-31,11744337.721893182,2699562.2267685877
2017-02-28,12467632.124102082,2805632.490261103
